"game_id","player_id","team_id","timeOnIce","assists","goals","pim","shots","saves","powerPlaySaves","shortHandedSaves","evenSaves","shortHandedShotsAgainst","evenShotsAgainst","powerPlayShotsAgainst","decision","savePercentage","powerPlaySavePercentage","evenStrengthSavePercentage"
"2011030221","8455710","1",3876,0,0,0,36,32,7,0,25,0,28,8,"L",88.8888888888889,87.5,89.2857142857143
"2011030221","8468524","4",3876,0,0,0,26,23,4,5,14,5,16,5,"W",88.4615384615385,80,87.5
"2011030222","8455710","1",3599,0,0,0,20,19,1,3,15,3,16,1,"W",95,100,93.75
"2011030222","8468524","4",3559,0,0,0,34,31,6,0,25,0,28,6,"L",91.1764705882353,100,89.2857142857143
"2011030223","8468524","4",4623,0,0,0,31,27,1,1,25,1,28,2,"L",87.0967741935484,50,89.2857142857143
"2011030223","8455710","1",4641,0,0,0,28,25,4,0,21,0,23,5,"W",89.2857142857143,80,91.304347826087
"2011030224","8468524","4",3555,0,0,0,42,39,6,0,33,0,35,7,"L",92.8571428571429,85.7142857142857,94.2857142857143
"2011030224","8455710","1",3600,1,0,0,22,20,1,1,18,2,18,2,"W",90.9090909090909,50,100
"2011030225","8455710","1",3600,0,0,0,28,27,0,3,24,3,25,0,"W",96.4285714285714,NA,96
"2011030225","8468524","4",3452,0,0,0,30,27,2,1,24,1,26,3,"L",90,66.6666666666667,92.3076923076923
"2011030411","8471734","26",4093,0,0,0,17,16,2,1,13,1,14,2,"W",94.1176470588235,100,92.8571428571429
"2011030411","8455710","1",4093,0,0,0,25,23,1,0,22,0,24,1,"L",92,100,91.6666666666667
"2011030412","8471734","26",4422,0,0,0,33,32,3,0,29,0,30,3,"W",96.969696969697,100,96.6666666666667
"2011030412","8455710","1",4422,0,0,0,32,30,1,2,27,2,29,1,"L",93.75,100,93.1034482758621
"2011030413","8455710","1",3595,0,0,0,21,17,2,1,14,1,16,4,"L",80.9523809523809,50,87.5
"2011030413","8471734","26",3600,0,0,0,22,22,3,0,19,0,19,3,"W",100,100,100
"2011030414","8455710","1",3600,0,0,0,22,21,6,0,15,0,15,7,"W",95.4545454545455,85.7142857142857,100
"2011030414","8471734","26",3582,0,0,0,23,21,6,0,15,0,17,6,"L",91.304347826087,100,88.2352941176471
"2011030415","8471734","26",3533,0,0,0,19,17,2,1,14,1,15,3,"L",89.4736842105263,66.6666666666667,93.3333333333333
"2011030415","8455710","1",3600,0,0,0,26,25,4,0,21,0,22,4,"W",96.1538461538462,100,95.4545454545455
"2011030416","8455710","1",3564,0,0,0,24,19,10,0,9,0,11,13,"L",79.1666666666667,76.9230769230769,81.8181818181818
"2011030416","8471734","26",3594,0,0,0,18,17,0,4,13,4,14,0,"W",94.4444444444444,NA,92.8571428571429
"2010030311","8460806","14",3600,0,0,0,33,31,4,0,27,0,29,4,"W",93.9393939393939,100,93.1034482758621
"2010030311","8460703","6",3583,0,0,0,33,29,10,0,19,0,22,11,"L",87.8787878787879,90.9090909090909,86.3636363636364
"2010030312","8469608","14",1129,0,0,0,8,8,3,0,5,0,5,3,"",100,100,100
"2010030312","8460806","14",2400,0,0,0,27,21,9,2,10,2,14,11,"L",77.7777777777778,81.8181818181818,71.4285714285714
"2010030312","8460703","6",3600,0,0,0,41,36,6,3,27,3,31,7,"W",87.8048780487805,85.7142857142857,87.0967741935484
"2010030313","8460703","6",3600,0,0,0,31,31,5,0,26,0,26,5,"W",100,100,100
"2010030313","8460806","14",3471,0,0,0,25,23,3,0,20,0,22,3,"L",92,100,90.9090909090909
"2010030314","8460703","6",3552,0,0,0,36,32,2,2,28,2,32,2,"L",88.8888888888889,100,87.5
"2010030314","8469608","14",2522,0,0,0,21,21,2,0,19,0,19,2,"W",100,100,100
"2010030314","8460806","14",1078,0,0,0,9,6,0,0,6,1,8,0,"",66.6666666666667,NA,75
"2010030315","8469608","14",3558,0,0,0,19,17,2,2,13,2,15,2,"L",89.4736842105263,100,86.6666666666667
"2010030315","8460703","6",3566,0,0,0,34,33,4,1,28,1,29,4,"W",97.0588235294118,100,96.551724137931
"2010030316","8460703","6",3512,0,0,0,26,21,5,0,16,0,18,8,"L",80.7692307692308,62.5,88.8888888888889
"2010030316","8460806","14",3600,0,0,0,20,16,4,0,12,0,15,5,"W",80,80,80
"2010030317","8460806","14",3574,0,0,0,38,37,0,0,37,0,38,0,"L",97.3684210526316,NA,97.3684210526316
"2010030317","8460703","6",3600,0,0,0,24,24,0,0,24,0,24,0,"W",100,NA,100
"2012030221","8468685","3",4540,0,0,0,48,45,10,1,34,1,36,11,"L",93.75,90.9090909090909,94.4444444444444
"2012030221","8471695","6",4540,0,0,0,35,33,3,0,30,0,32,3,"W",94.2857142857143,100,93.75
"2012030222","8468685","3",3600,0,0,0,32,27,1,2,24,2,29,1,"L",84.375,100,82.7586206896552
"2012030222","8471695","6",3600,0,0,0,37,35,7,1,27,1,29,7,"W",94.5945945945946,100,93.1034482758621
"2012030223","8471695","6",3600,0,0,0,24,23,2,0,21,0,22,2,"W",95.8333333333333,100,95.4545454545455
"2012030223","8468685","3",3534,0,0,0,34,32,0,0,32,0,34,0,"L",94.1176470588235,NA,94.1176470588235
"2012030224","8471695","6",4019,0,0,0,32,28,5,1,22,1,25,6,"L",87.5,83.3333333333333,88
"2012030224","8468685","3",4023,0,0,0,40,37,6,0,31,0,32,8,"W",92.5,75,96.875
"2012030225","8468685","3",3547,0,0,0,31,29,2,2,25,2,26,3,"L",93.5483870967742,66.6666666666667,96.1538461538462
"2012030225","8471695","6",3600,0,0,0,29,28,1,2,25,2,25,2,"W",96.551724137931,50,100
"2012030311","8471695","6",3600,0,0,0,29,29,9,1,19,1,19,9,"W",100,100,100
"2012030311","8460712","5",3600,0,0,0,30,27,4,3,20,3,23,4,"L",90,100,86.9565217391304
"2012030312","8471695","6",3600,0,0,0,27,26,3,0,23,0,24,3,"W",96.2962962962963,100,95.8333333333333
"2012030312","8460712","5",991,0,0,0,12,9,3,0,6,0,9,3,"L",75,100,66.6666666666667
"2012030312","8470594","5",2604,0,0,0,17,14,0,0,14,0,17,0,"",82.3529411764706,NA,82.3529411764706
"2012030313","8460712","5",5719,0,0,0,40,38,4,1,33,1,35,4,"L",95,100,94.2857142857143
"2012030313","8471695","6",5719,0,0,0,54,53,13,3,37,3,38,13,"W",98.1481481481482,100,97.3684210526316
"2012030314","8460712","5",3504,0,0,0,24,23,2,0,21,0,22,2,"L",95.8333333333333,100,95.4545454545455
"2012030314","8471695","6",3600,0,0,0,26,26,2,0,24,0,24,2,"W",100,100,100
"2010030241","8470657","17",4011,0,0,2,46,44,13,2,29,2,30,14,"L",95.6521739130435,92.8571428571429,96.6666666666667
"2010030241","8474550","28",4023,0,0,0,25,24,5,0,19,0,20,5,"W",96,100,95
"2010030242","8470657","17",3537,0,0,0,37,35,7,1,27,1,28,8,"L",94.5945945945946,87.5,96.4285714285714
"2010030242","8474550","28",3592,0,0,0,34,33,7,1,25,1,25,8,"W",97.0588235294118,87.5,100
"2010030243","8474550","28",4159,0,0,0,41,38,6,0,32,0,33,8,"W",92.6829268292683,75,96.969696969697
"2010030243","8470657","17",4145,0,0,0,38,34,5,3,26,3,28,7,"L",89.4736842105263,71.4285714285714,92.8571428571429
"2010030244","8474550","28",3521,0,0,0,40,36,4,0,32,0,35,5,"L",90,80,91.4285714285714
"2010030244","8470657","17",3598,0,0,0,28,25,3,0,22,0,25,3,"W",89.2857142857143,100,88
"2010030245","8470657","17",3595,0,0,0,42,39,8,0,31,0,34,8,"W",92.8571428571429,100,91.1764705882353
"2010030245","8474550","28",3527,0,0,0,22,18,0,0,18,0,22,0,"L",81.8181818181818,NA,81.8181818181818
"2010030246","8474550","28",3522,0,0,0,44,42,9,1,32,1,34,9,"L",95.4545454545455,100,94.1176470588235
"2010030246","8470657","17",3600,0,0,0,25,24,5,0,19,0,20,5,"W",96,100,95
"2010030247","8470657","17",3516,0,0,0,30,27,9,1,17,1,19,10,"L",90,90,89.4736842105263
"2010030247","8474550","28",3600,0,0,0,40,38,2,1,35,1,37,2,"W",95,100,94.5945945945946
"2010030231","8471469","18",3509,0,0,0,30,29,13,0,16,0,17,13,"L",96.6666666666667,100,94.1176470588235
"2010030231","8466141","23",3598,0,0,0,20,20,4,1,15,1,15,4,"W",100,100,100
"2010030232","8471469","18",5690,0,0,0,33,32,0,0,32,1,32,0,"W",96.969696969697,NA,100
"2010030232","8466141","23",5691,0,0,0,46,44,7,0,37,0,39,7,"L",95.6521739130435,100,94.8717948717949
"2010030233","8466141","23",4245,0,0,0,30,28,3,1,24,2,25,3,"W",93.3333333333333,100,96
"2010030233","8471469","18",4243,0,0,0,47,44,3,0,41,0,42,5,"L",93.6170212765958,60,97.6190476190476
"2010030234","8466141","23",3599,0,0,0,21,19,5,0,14,0,15,6,"W",90.4761904761905,83.3333333333333,93.3333333333333
"2010030234","8471469","18",3571,0,0,0,27,24,3,0,21,0,23,4,"L",88.8888888888889,75,91.304347826087
"2010030235","8471469","18",3600,0,0,0,34,31,2,0,29,0,32,2,"W",91.1764705882353,100,90.625
"2010030235","8466141","23",3541,0,0,0,23,19,2,1,16,2,19,2,"L",82.6086956521739,100,84.2105263157895
"2010030236","8466141","23",3586,0,0,0,24,23,7,2,14,2,15,7,"W",95.8333333333333,100,93.3333333333333
"2010030236","8471469","18",3515,0,0,0,19,17,3,0,14,0,15,4,"L",89.4736842105263,75,93.3333333333333
"2012030231","8470657","17",3549,0,0,0,41,38,4,1,33,1,35,5,"L",92.6829268292683,80,94.2857142857143
"2012030231","8470645","16",3600,0,0,0,21,20,4,1,15,1,16,4,"W",95.2380952380952,100,93.75
"2012030232","8470657","17",3600,0,0,0,20,19,2,0,17,0,18,2,"W",95,100,94.4444444444444
"2012030232","8470645","16",3600,0,0,0,30,26,6,1,19,1,23,6,"L",86.6666666666667,100,82.6086956521739
"2012030233","8470645","16",3526,0,0,0,30,27,6,0,21,0,24,6,"L",90,100,87.5
"2012030233","8470657","17",3600,0,0,0,40,39,8,2,29,2,30,8,"W",97.5,100,96.6666666666667
"2012030234","8470645","16",3515,0,0,0,26,25,6,1,18,1,18,7,"L",96.1538461538462,85.7142857142857,100
"2012030234","8470657","17",3587,0,0,0,28,28,1,2,25,2,25,1,"W",100,100,100
"2012030235","8470657","17",3600,0,0,0,45,41,4,3,34,3,36,6,"L",91.1111111111111,66.6666666666667,94.4444444444444
"2012030235","8470645","16",3592,0,0,0,26,25,6,0,19,0,20,6,"W",96.1538461538462,100,95
"2012030236","8470645","16",3598,0,0,0,38,35,5,0,30,0,33,5,"W",92.1052631578947,100,90.9090909090909
"2012030236","8470657","17",3515,0,0,0,28,24,5,1,18,1,21,6,"L",85.7142857142857,83.3333333333333,85.7142857142857
"2012030237","8470657","17",3815,0,0,0,35,33,3,1,29,1,31,3,"L",94.2857142857143,100,93.5483870967742
"2012030237","8470645","16",3815,0,0,0,27,26,4,0,22,0,23,4,"W",96.2962962962963,100,95.6521739130435
"2012030121","8467950","9",3600,0,0,0,50,48,11,4,33,4,34,12,"W",96,91.6666666666667,97.0588235294118
"2012030121","8471679","8",3545,0,0,0,31,27,2,1,24,1,28,2,"L",87.0967741935484,100,85.7142857142857
"2012030122","8467950","9",3541,0,0,0,34,31,5,3,23,3,26,5,"L",91.1764705882353,100,88.4615384615385
"2012030122","8471679","8",3600,0,0,0,30,29,7,0,22,0,23,7,"W",96.6666666666667,100,95.6521739130435
"2012030123","8471679","8",3600,0,0,0,30,24,7,1,16,1,19,10,"L",80,70,84.2105263157895
"2012030123","8467950","9",3593,0,0,0,34,33,6,1,26,1,26,7,"W",97.0588235294118,85.7142857142857,100
"2012030124","8471679","8",3600,0,0,0,32,30,1,0,29,0,31,1,"",93.75,100,93.5483870967742
"2012030124","8469514","8",152,0,0,0,2,1,0,0,1,0,2,0,"L",50,NA,50
"2012030124","8467950","9",3690,0,0,0,28,26,2,0,24,0,26,2,"W",92.8571428571429,100,92.3076923076923
"2012030125","8467950","9",3600,0,0,0,34,33,8,1,24,1,24,9,"W",97.0588235294118,88.8888888888889,100
"2012030125","8469514","8",3600,0,0,0,29,23,6,2,15,3,17,9,"L",79.3103448275862,66.6666666666667,88.2352941176471
"2012030151","8470216","30",4595,0,0,0,37,35,5,0,30,0,31,6,"L",94.5945945945946,83.3333333333333,96.7741935483871
"2012030151","8470645","16",4595,0,0,0,27,26,6,1,19,1,20,6,"W",96.2962962962963,100,95
"2012030152","8470216","30",3583,0,0,0,47,43,7,1,35,2,38,7,"L",91.4893617021277,100,92.1052631578947
"2012030152","8470645","16",3600,0,0,0,28,26,7,0,19,0,21,7,"W",92.8571428571429,100,90.4761904761905
"2012030153","8470645","16",3735,0,0,0,37,34,5,1,28,1,31,5,"L",91.8918918918919,100,90.3225806451613
"2012030153","8470216","30",3733,0,0,0,27,25,1,2,22,2,24,1,"W",92.5925925925926,100,91.6666666666667
"2012030154","8470645","16",3600,0,0,0,25,25,7,0,18,0,18,7,"W",100,100,100
"2012030154","8470216","30",1191,0,0,0,6,5,0,1,4,1,5,0,"L",83.3333333333333,NA,80
"2012030154","8475311","30",2393,0,0,0,18,16,1,1,14,1,16,1,"",88.8888888888889,100,87.5
"2012030155","8470216","30",1586,0,0,0,18,15,0,0,15,0,18,0,"L",83.3333333333333,NA,83.3333333333333
"2012030155","8475311","30",2014,0,0,0,15,13,1,0,12,0,13,2,"",86.6666666666667,50,92.3076923076923
"2012030155","8470645","16",3600,0,0,0,22,21,4,0,17,0,18,4,"W",95.4545454545455,100,94.4444444444444
"2010030211","8460806","14",3584,0,0,0,28,26,5,3,18,3,20,5,"W",92.8571428571429,100,90
"2010030211","8473607","15",3556,0,0,0,23,20,2,5,13,5,15,3,"L",86.9565217391304,66.6666666666667,86.6666666666667
"2010030212","8460806","14",3961,0,0,0,37,35,12,1,22,1,24,12,"W",94.5945945945946,100,91.6666666666667
"2010030212","8473607","15",3944,0,0,0,23,20,4,2,14,2,16,5,"L",86.9565217391304,80,87.5
"2010030213","8473607","15",3483,0,0,0,30,26,2,1,23,1,27,2,"L",86.6666666666667,100,85.1851851851852
"2010030213","8460806","14",3596,0,0,0,32,29,1,1,27,1,29,2,"W",90.625,50,93.1034482758621
"2010030214","8473607","15",3469,0,0,0,37,32,3,0,29,0,32,5,"L",86.4864864864865,60,90.625
"2010030214","8460806","14",3600,0,0,0,36,33,4,1,28,1,30,5,"W",91.6666666666667,80,93.3333333333333
"2010030221","8460703","6",3600,0,0,0,34,31,7,4,20,4,22,8,"W",91.1764705882353,87.5,90.9090909090909
"2010030221","8475683","4",1366,0,0,0,10,8,1,0,7,0,9,1,"",80,100,77.7777777777778
"2010030221","8462052","4",2197,0,0,0,23,18,3,0,15,0,20,3,"L",78.2608695652174,100,75
"2010030222","8460703","6",4440,0,0,2,54,52,11,2,39,2,40,12,"W",96.2962962962963,91.6666666666667,97.5
"2010030222","8475683","4",539,0,0,0,6,6,3,0,3,0,3,3,"",100,100,100
"2010030222","8462052","4",3901,0,0,0,35,32,2,1,29,1,32,2,"L",91.4285714285714,100,90.625
"2010030223","8475683","4",1470,0,0,0,8,7,1,0,6,0,6,2,"",87.5,50,100
"2010030223","8462052","4",2114,0,0,0,20,16,0,1,15,1,19,0,"L",80,NA,78.9473684210526
"2010030223","8460703","6",3600,0,0,0,38,37,1,1,35,1,36,1,"W",97.3684210526316,100,97.2222222222222
"2010030224","8475683","4",3499,0,0,0,25,22,4,1,17,1,19,5,"L",88,80,89.4736842105263
"2010030224","8460703","6",3599,0,0,0,23,22,4,0,18,0,19,4,"W",95.6521739130435,100,94.7368421052632
"2012030181","8471734","26",4388,0,0,2,42,40,7,0,33,1,33,8,"L",95.2380952380952,87.5,100
"2012030181","8470880","19",4406,0,0,0,29,28,2,2,24,2,25,2,"W",96.551724137931,100,96
"2012030182","8471734","26",3556,0,0,0,25,23,1,1,21,1,23,1,"L",92,100,91.304347826087
"2012030182","8470880","19",3600,0,0,0,29,28,3,0,25,0,25,4,"W",96.551724137931,75,100
"2012030183","8470880","19",3547,0,0,0,21,20,2,1,17,1,18,2,"L",95.2380952380952,100,94.4444444444444
"2012030183","8471734","26",3600,0,0,0,30,30,5,3,22,3,22,5,"W",100,100,100
"2012030184","8470880","19",3541,0,0,0,29,25,4,0,21,0,25,4,"L",86.2068965517241,100,84
"2012030184","8471734","26",3600,0,0,0,22,19,2,0,17,0,19,3,"W",86.3636363636364,66.6666666666667,89.4736842105263
"2012030185","8471734","26",4080,0,0,0,36,34,4,0,30,0,32,4,"W",94.4444444444444,100,93.75
"2012030185","8470880","19",4059,0,0,0,25,22,0,0,22,0,24,1,"L",88,0,91.6666666666667
"2012030186","8470880","19",3556,0,0,0,16,14,0,0,14,0,16,0,"L",87.5,NA,87.5
"2012030186","8471734","26",3600,0,0,0,22,21,1,0,20,0,21,1,"W",95.4545454545455,100,95.2380952380952
"2011030161","8474550","28",5014,0,0,0,42,40,5,1,34,1,35,6,"W",95.2380952380952,83.3333333333333,97.1428571428571
"2011030161","8470860","19",5014,0,0,0,34,31,5,0,26,0,28,6,"L",91.1764705882353,83.3333333333333,92.8571428571429
"2011030162","8474550","28",3586,0,0,0,32,29,9,0,20,0,22,10,"L",90.625,90,90.9090909090909
"2011030162","8470860","19",1249,0,0,0,12,12,1,0,11,0,11,1,"W",100,100,100
"2011030162","8470880","19",2333,0,0,0,17,17,4,1,12,1,12,4,"",100,100,100
"2011030163","8470880","19",3600,0,0,0,29,26,5,1,20,1,22,6,"W",89.6551724137931,83.3333333333333,90.9090909090909
"2011030163","8474550","28",3539,0,0,0,27,23,2,2,19,2,20,5,"L",85.1851851851852,40,95
"2011030164","8470880","19",3600,0,0,0,25,24,7,0,17,0,18,7,"W",96,100,94.4444444444444
"2011030164","8474550","28",3430,0,0,0,24,22,5,0,17,0,18,6,"L",91.6666666666667,83.3333333333333,94.4444444444444
"2011030165","8474550","28",3514,0,0,0,26,24,4,0,20,0,22,4,"L",92.3076923076923,100,90.9090909090909
"2011030165","8470880","19",3585,0,0,0,27,26,5,0,21,0,22,5,"W",96.2962962962963,100,95.4545454545455
"2010030161","8471734","26",4484,0,0,0,45,42,4,0,38,0,41,4,"L",93.3333333333333,100,92.6829268292683
"2010030161","8474550","28",4484,0,0,0,35,33,0,0,33,0,34,1,"W",94.2857142857143,0,97.0588235294118
"2010030162","8471734","26",3600,0,0,0,34,34,8,4,22,4,22,8,"W",100,100,100
"2010030162","8474550","28",3573,0,0,0,23,19,3,0,16,0,18,5,"L",82.6086956521739,60,88.8888888888889
"2010030163","8467511","28",2545,0,0,0,12,11,0,1,10,1,11,0,"W",91.6666666666667,NA,90.9090909090909
"2010030163","8474550","28",1244,0,0,0,10,6,3,1,2,1,6,3,"",60,100,33.3333333333333
"2010030163","8471734","26",3789,0,0,0,36,30,5,0,25,0,30,6,"L",83.3333333333333,83.3333333333333,83.3333333333333
"2010030164","8474550","28",3581,0,0,0,38,35,7,2,26,2,29,7,"W",92.1052631578947,100,89.6551724137931
"2010030164","8471734","26",3600,0,0,0,27,21,10,2,9,2,14,11,"L",77.7777777777778,90.9090909090909,64.2857142857143
"2010030165","8471734","26",3600,0,0,0,52,51,14,0,37,0,38,14,"W",98.0769230769231,100,97.3684210526316
"2010030165","8467511","28",2944,0,0,0,18,18,0,0,18,0,18,0,"",100,NA,100
"2010030165","8474550","28",522,0,0,0,4,1,0,0,1,0,4,0,"L",25,NA,25
"2010030166","8474550","28",3742,0,0,0,29,26,8,1,17,1,18,10,"W",89.6551724137931,80,94.4444444444444
"2010030166","8471734","26",3742,0,0,0,35,31,3,0,28,0,32,3,"L",88.5714285714286,100,87.5
"2011030181","8470657","17",3524,0,0,0,26,23,7,2,14,2,17,7,"L",88.4615384615385,100,82.3529411764706
"2011030181","8471469","18",3594,0,0,0,37,35,14,1,20,1,20,16,"W",94.5945945945946,87.5,100
"2011030182","8470657","17",3600,0,0,0,26,24,7,0,17,0,19,7,"W",92.3076923076923,100,89.4736842105263
"2011030182","8471469","18",3557,0,0,0,17,14,1,0,13,0,16,1,"L",82.3529411764706,100,81.25
"2011030183","8471469","18",3600,0,0,0,43,41,8,0,33,0,34,9,"W",95.3488372093023,88.8888888888889,97.0588235294118
"2011030183","8470657","17",3514,0,0,0,22,19,6,0,13,0,15,7,"L",86.3636363636364,85.7142857142857,86.6666666666667
"2011030184","8471469","18",3600,0,0,0,41,40,5,0,35,0,35,6,"W",97.5609756097561,83.3333333333333,100
"2011030184","8470657","17",3558,0,0,0,17,14,2,2,10,2,12,3,"L",82.3529411764706,66.6666666666667,83.3333333333333
"2011030185","8470657","17",3527,0,0,0,25,23,2,0,21,0,23,2,"L",92,100,91.304347826087
"2011030185","8471469","18",3597,0,0,0,22,21,1,0,20,0,21,1,"W",95.4545454545455,100,95.2380952380952
"2012030161","8470657","17",3533,0,0,0,26,24,0,0,24,0,24,2,"L",92.3076923076923,0,100
"2012030161","8473972","24",3600,0,0,0,22,21,5,0,16,0,16,6,"W",95.4545454545455,83.3333333333333,100
"2012030162","8470657","17",3681,0,0,0,32,28,7,3,18,3,21,8,"W",87.5,87.5,85.7142857142857
"2012030162","8473972","24",3681,0,0,0,32,27,8,0,19,0,21,11,"L",84.375,72.7272727272727,90.4761904761905
"2012030163","8473972","24",3600,0,0,0,23,23,9,3,11,3,11,9,"W",100,100,100
"2012030163","8470657","17",3600,0,0,2,29,25,7,0,18,1,19,9,"L",86.2068965517241,77.7777777777778,94.7368421052632
"2012030164","8473972","24",4510,0,0,0,49,46,2,1,43,1,46,2,"L",93.8775510204082,100,93.4782608695652
"2012030164","8470657","17",4510,0,0,0,33,31,6,1,24,1,26,6,"W",93.9393939393939,100,92.3076923076923
"2012030165","8470657","17",3714,0,0,0,34,31,6,0,25,0,27,7,"L",91.1764705882353,85.7142857142857,92.5925925925926
"2012030165","8473972","24",3714,0,0,0,31,29,3,0,26,0,27,4,"W",93.5483870967742,75,96.2962962962963
"2012030166","8473972","24",3664,0,0,0,29,25,5,0,20,0,23,6,"L",86.2068965517241,83.3333333333333,86.9565217391304
"2012030166","8470657","17",3664,0,0,0,37,34,0,3,31,3,34,0,"W",91.8918918918919,NA,91.1764705882353
"2012030167","8470657","17",3600,0,0,0,33,31,6,1,24,1,25,7,"W",93.9393939393939,85.7142857142857,96
"2012030167","8473972","24",3551,1,0,0,32,29,0,0,29,1,31,0,"L",90.625,NA,93.5483870967742
"2010030151","8470645","16",3480,0,0,0,33,31,2,2,27,2,29,2,"L",93.9393939393939,100,93.1034482758621
"2010030151","8466141","23",3600,0,0,0,32,32,4,0,28,0,28,4,"W",100,100,100
"2010030152","8470645","16",3510,0,0,0,27,23,0,1,22,1,25,1,"L",85.1851851851852,0,88
"2010030152","8466141","23",3600,0,0,0,26,23,0,0,23,0,26,0,"W",88.4615384615385,NA,88.4615384615385
"2010030153","8466141","23",3600,0,0,0,32,30,7,0,23,0,23,9,"W",93.75,77.7777777777778,100
"2010030153","8470645","16",3508,0,0,0,26,23,1,2,20,2,22,2,"L",88.4615384615385,50,90.9090909090909
"2010030154","8466141","23",2643,0,0,0,28,22,5,0,17,0,22,6,"L",78.5714285714286,83.3333333333333,77.2727272727273
"2010030154","8471239","23",955,0,0,0,7,6,1,0,5,0,5,2,"",85.7142857142857,50,100
"2010030154","8470645","16",3568,1,0,0,23,21,5,0,16,0,16,7,"W",91.304347826087,71.4285714285714,100
"2010030155","8470645","16",3600,1,0,0,36,36,6,0,30,0,30,6,"W",100,100,100
"2010030155","8466141","23",1275,0,0,0,12,8,1,1,6,1,8,3,"L",66.6666666666667,33.3333333333333,75
"2010030155","8471239","23",2314,0,0,0,14,13,1,2,10,2,11,1,"",92.8571428571429,100,90.9090909090909
"2010030156","8466141","23",1979,0,0,0,13,12,0,0,12,0,13,0,"L",92.3076923076923,NA,92.3076923076923
"2010030156","8471239","23",2551,0,0,0,20,17,5,0,12,0,15,5,"",85,100,80
"2010030156","8470645","16",4530,0,0,0,35,32,1,0,31,0,34,1,"W",91.4285714285714,100,91.1764705882353
"2010030157","8470645","16",3916,0,0,0,38,36,5,2,29,2,31,5,"L",94.7368421052632,100,93.5483870967742
"2010030157","8466141","23",3922,0,0,0,32,31,1,1,29,2,29,1,"W",96.875,100,100
"2011030241","8471469","18",4444,0,0,2,24,20,0,0,20,0,23,1,"L",83.3333333333333,0,86.9565217391304
"2011030241","8469608","27",4444,0,0,0,42,39,6,1,32,1,34,7,"W",92.8571428571429,85.7142857142857,94.1176470588235
"2011030242","8471469","18",3460,0,0,0,39,34,0,0,34,0,39,0,"L",87.1794871794872,NA,87.1794871794872
"2011030242","8469608","27",3600,0,0,0,33,30,1,1,28,1,29,3,"W",90.9090909090909,33.3333333333333,96.551724137931
"2011030243","8469608","27",3471,0,0,0,26,24,8,1,15,1,17,8,"L",92.3076923076923,100,88.2352941176471
"2011030243","8471469","18",3600,0,0,0,32,32,5,4,23,4,23,5,"W",100,100,100
"2011030244","8469608","27",3600,0,0,0,25,25,2,0,23,0,23,2,"W",100,100,100
"2011030244","8471469","18",3541,0,0,0,24,23,2,1,20,1,21,2,"L",95.8333333333333,100,95.2380952380952
"2011030245","8471469","18",3561,0,0,0,17,15,0,1,14,1,16,0,"L",88.2352941176471,NA,87.5
"2011030245","8469608","27",3600,0,0,0,33,32,6,0,26,0,27,6,"W",96.969696969697,100,96.2962962962963
"2010030181","8471469","18",3538,0,0,0,28,27,7,0,20,0,20,8,"W",96.4285714285714,87.5,100
"2010030181","8468540","24",2456,0,0,0,24,20,3,0,17,0,20,4,"L",83.3333333333333,75,85
"2010030181","8469548","24",1144,0,0,0,6,6,1,2,3,2,3,1,"",100,100,100
